"CODE_INSEE","NOM_COMMUNE","POPULATION_TOTALE"
"38057","BRESSON",699
"38059","BRIE-ET-ANGONNES",2598
"38068","CHAMPAGNIER",1256
"38071","CHAMP-SUR-DRAC",3041
"38111","CLAIX",8129
"38126","CORENC",4140
"38150","DOMENE",6815
"38151","ECHIROLLES",37051
"38158","EYBENS",10302
"38169","FONTAINE",22790
"38170","FONTANIL-CORNILLON",2749
"38179","GIERES",6861
"38185","GRENOBLE",160625
"38187","LE GUA",1804
"38188","HERBEYS",1387
"38200","JARRIE",3814
"38229","MEYLAN",17528
"38235","MIRIBEL-LANCHATRE",441
"38252","MONTCHABOUD",348
"38258","MONT-SAINT-MARTIN",83
"38271","MURIANETTE",893
"38277","NOTRE-DAME-DE-COMMIERS",524
"38279","NOTRE-DAME-DE-MESAGE",1159
"38281","NOYAREY",2299
"38309","POISAT",2196
"38317","LE PONT-DE-CLAIX",10498
"38325","PROVEYSIEUX",516
"38328","QUAIX-EN-CHARTREUSE",925
"38364","ST-BARTHELEMY-SECHILIENNE",437
"38382","SAINT-EGREVE",16094
"38388","SAINT-GEORGES-DE-COMMIERS",2306
"38421","SAINT-MARTIN-D'HERES",38755
"38423","SAINT-MARTIN-LE-VINOUX",5839
"38436","SAINT-PAUL-DE-VARCES",2211
"38445","SAINT-PIERRE-DE-MESAGE",770
"38471","LE SAPPEY-EN-CHARTREUSE",1151
"38472","SARCENAS",197
"38474","SASSENAGE",11577
"38478","SECHILIENNE",1065
"38485","SEYSSINET-PARISET",12171
"38486","SEYSSINS",7791
"38516","LA TRONCHE",6737
"38524","VARCES-ALLIERES-ET-RISSET",8417
"38528","VAULNAVEYS-LE-BAS",1311
"38529","VAULNAVEYS-LE-HAUT",3927
"38533","VENON",745
"38540","VEUREY-VOROIZE",1464
"38545","VIF",8656
"38562","VIZILLE",7534
