"CODE_TRANSPORTEUR","MODALITE_COLLECTE","NATURE_COLLECTE","SECTEUR_COLLECTE"
"000426","PAV","Prestation","MULTISECTEUR"
"000881","PAV","Régie","NORD-EST"
"000882","PAV","Régie","NORD-EST"
"000883","PAV","Régie","NORD-EST"
"000884","PAV","Régie","SUD"
"000885","PAV","Régie","SUD"
"000886","PAV","Régie","SUD"
"000887","PAV","Régie","NORD-OUEST"
"000888","PAV","Régie","SUD"
"000889","PAV","Régie","NORD-OUEST"
"000890","PAV","Régie","SUD"
"000891","PAV","Régie","SUD"
"000892","PAV","Régie","NORD-EST"
"000893","PAV","Régie","NORD-OUEST"
"101012","PAP","Régie","NORD-EST"
"101013","PAP","Régie","NORD-EST"
"101014","PAP","Régie","NORD-EST"
"101015","PAP","Régie","NORD-EST"
"101022","PAP","Régie","NORD-EST"
"101023","PAP","Régie","NORD-EST"
"101024","PAP","Régie","NORD-EST"
"101025","PAP","Régie","NORD-EST"
"101026","PAP","Régie","NORD-EST"
"110002","PAP","Régie","NORD-EST"
"110003","PAP","Régie","NORD-EST"
"110004","PAP","Régie","NORD-EST"
"110005","PAP","Régie","NORD-EST"
"110006","PAP","Régie","NORD-EST"
"110007","PAP","Régie","NORD-EST"
"110008","PAP","Régie","NORD-EST"
"110009","PAP","Régie","NORD-EST"
"110010","PAP","Régie","NORD-EST"
"110012","PAP","Régie","NORD-EST"
"110013","PAP","Régie","NORD-EST"
"110014","PAP","Régie","NORD-EST"
"110015","PAP","Régie","NORD-EST"
"111004","PAP","Régie","NORD-EST"
"111008","PAP","Régie","NORD-EST"
"112009","PAP","Régie","NORD-EST"
"112010","PAP","Régie","NORD-EST"
"112011","PAP","Régie","NORD-EST"
"114002","PAP","Régie","NORD-EST"
"115003","PAP","Régie","NORD-EST"
"115006","PAP","Régie","NORD-EST"
"115008","PAP","Régie","NORD-EST"
"116011","PAP","Régie","NORD-EST"
"120001","PAP","Régie","SUD"
"120002","PAP","Régie","SUD"
"120004","PAP","Régie","SUD"
"120005","PAP","Régie","SUD"
"120006","PAP","Régie","SUD"
"120008","PAP","Régie","SUD"
"120011","PAP","Régie","SUD"
"120013","PAP","Régie","SUD"
"120015","PAP","Régie","SUD"
"120017","PAP","Régie","SUD"
"120018","PAP","Régie","SUD"
"120023","PAP","Régie","SUD"
"120025","PAP","Régie","SUD"
"120026","PAP","Régie","SUD"
"120027","PAP","Régie","SUD"
"120028","PAP","Régie","SUD"
"120029","PAP","Régie","SUD"
"120030","PAP","Régie","SUD"
"120031","PAP","Régie","SUD"
"120032","PAP","Régie","SUD"
"120033","PAP","Régie","SUD"
"120034","PAP","Régie","SUD"
"120035","PAP","Régie","SUD"
"120036","PAP","Régie","SUD"
"120037","PAP","Régie","SUD"
"120038","PAP","Régie","SUD"
"120039","PAP","Régie","SUD"
"120040","PAP","Régie","SUD"
"120041","PAP","Régie","SUD"
"120042","PAP","Régie","SUD"
"121001","PAP","Régie","GRAND SUD"
"121002","PAP","Régie","GRAND SUD"
"121003","PAP","Régie","GRAND SUD"
"121004","PAP","Régie","GRAND SUD"
"121005","PAP","Régie","GRAND SUD"
"124006","PAP","Régie","GRAND SUD"
"124024","PAP","Régie","GRAND SUD"
"126007","PAP","Régie","GRAND SUD"
"126008","PAP","Régie","GRAND SUD"
"126009","PAP","Régie","GRAND SUD"
"127010","PAP","Régie","GRAND SUD"
"128012","PAP","Régie","GRAND SUD"
"128013","PAP","Régie","GRAND SUD"
"128014","PAP","Régie","GRAND SUD"
"129016","PAP","Régie","GRAND SUD"
"130001","PAP","Régie","NORD-OUEST"
"130002","PAP","Régie","NORD-OUEST"
"130003","PAP","Régie","NORD-OUEST"
"130004","PAP","Régie","NORD-OUEST"
"130005","PAP","Régie","NORD-OUEST"
"130011","PAP","Régie","NORD-OUEST"
"131001","PAP","Régie","NORD-OUEST"
"131003","PAP","Régie","NORD-OUEST"
"133004","PAP","Régie","NORD-OUEST"
"134008","PAP","Régie","NORD-OUEST"
"134009","PAP","Régie","NORD-OUEST"
"134010","PAP","Régie","NORD-OUEST"
"140001","PAP","Régie","NORD-OUEST"
"142006","PAP","Régie","NORD-OUEST"
"142007","PAP","Régie","NORD-OUEST"
"143008","PAP","Régie","NORD-OUEST"
"143010","PAP","Régie","NORD-OUEST"
"151004","PAP","Régie","NORD-OUEST"
"151005","PAP","Régie","NORD-OUEST"
"151006","PAP","Régie","NORD-OUEST"
"151007","PAP","Régie","NORD-OUEST"
"151008","PAP","Régie","NORD-OUEST"
"151010","PAP","Régie","NORD-OUEST"
"151019","PAP","Régie","NORD-EST"
"151999","PAP","Régie","NORD-OUEST"
"160001","PAP","Régie","GRAND SUD"
"160002","PAP","Régie","GRAND SUD"
"160003","PAP","Régie","GRAND SUD"
"160004","PAP","Régie","GRAND SUD"
"310008","PAP","Prestation","NORD-EST"
"310009","PAP","Prestation","NORD-EST"
"310010","PAV","Prestation","MULTISECTEUR"
"310011","PAP","Prestation","NORD-EST"
"310012","PAP","Prestation","NORD-EST"
"310013","PAP","Prestation","NORD-EST"
"310014","PAP","Prestation","GRAND SUD"
"310015","PAP","Prestation","NORD-EST"
"310016","PAP","Prestation","NORD-EST"
"310017","PAP","Prestation","NORD-EST"
"310018","PAP","Prestation","NORD-EST"
"313010","PAP","Prestation","NORD-EST"
"320001","PAP","Prestation","SUD"
"320009","PAP","Prestation","SUD"
"320018","PAP","Prestation","SUD"
"320019","PAP","Prestation","SUD"
"320020","PAP","Prestation","SUD"
"320021","PAP","Prestation","SUD"
"320022","PAP","Prestation","SUD"
"320023","PAP","Prestation","SUD"
"320024","PAP","Prestation","SUD"
"320025","PAP","Prestation","SUD"
"320026","PAP","Prestation","SUD"
"320027","PAP","Prestation","GRAND SUD"
"330003","PAP","Prestation","NORD-OUEST"
"330005","PAP","Prestation","NORD-OUEST"
"330014","PAP","Prestation","NORD-OUEST"
"330021","PAP","Prestation","NORD-OUEST"
"330039","PAP","Prestation","GRAND SUD"
"330040","PAP","Prestation","NORD-OUEST"
"330041","PAP","Prestation","NORD-OUEST"
"330042","PAP","Prestation","SUD"
"330043","PAP","Prestation","NORD-OUEST"
"330044","PAP","Prestation","NORD-OUEST"
"330045","PAP","Prestation","SUD"
