"FIQ_ORDRE";"FIQ_PES";"FIQ_TRA_CODE";"FIQ_DATE_DEPOT";"FIQ_DATE_TRI";"MATERIAUX";"POIDS_VRAC";"POIDS_SAC";"FAMILLE_MATERIAUX"
16990;1527891;"116011";27/07/23;27/07/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"Emballages recyclables en acier";0,5;0;"Emballages métalliques"
16990;1527891;"116011";27/07/23;27/07/23;"Objets plastique valorisables (valo)";0;0;"Autres emb recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"PE PP PS barquettes pots (valo)";0;0;"Autres emb recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"PE films valorisables (valo)";0,89;0;"Autres emb recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"Emballages recyclables en aluminium";0,11;0;"Emballages métalliques"
16990;1527891;"116011";27/07/23;27/07/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"autre plastique non valorisable";1,19;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"Non valorisables vrais";8,38;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16990;1527891;"116011";27/07/23;27/07/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"Carton plat et carton ondulé imprimé";17,35;0;"Emballages papier - carton"
16990;1527891;"116011";27/07/23;27/07/23;"PET Clair, barquettes, pot (valo)";0,2;0;"Autres emb recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"PEHD translucide ou opaque";3,67;0;"Flaconnages recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"PET Foncé, barquettes, pot (valo)";0;0;""
16990;1527891;"116011";27/07/23;27/07/23;"Recyclables souillés";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"ELA";0,41;0;"Emballages papier - carton"
16990;1527891;"116011";27/07/23;27/07/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16990;1527891;"116011";27/07/23;27/07/23;"PET transparent incolore et bleuté clair";1,8;0;"Flaconnages recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"Carton brun";0;0;"Emballages papier - carton"
16990;1527891;"116011";27/07/23;27/07/23;"GM";0,28;0;"Autres papiers recyclables"
16990;1527891;"116011";27/07/23;27/07/23;"PET autre et PVC";0,27;0;"Flaconnages recyclables en plastique"
16990;1527891;"116011";27/07/23;27/07/23;"Journaux et magazines";4,95;0;"Autres papiers recyclables"
16849;1510025;"134008";01/02/23;03/02/23;"Objets plastique valorisables (valo)";0,27;0;"Autres emb recyclables en plastique"
16849;1510025;"134008";01/02/23;03/02/23;"PET Clair, barquettes, pot (valo)";0,26;0;"Autres emb recyclables en plastique"
16849;1510025;"134008";01/02/23;03/02/23;"PET Foncé, barquettes, pot (valo)";0,03;0;""
16849;1510025;"134008";01/02/23;03/02/23;"Carton plat et carton ondulé imprimé";10,06;0;"Emballages papier - carton"
16849;1510025;"134008";01/02/23;03/02/23;"PE films valorisables (valo)";0,47;0;"Autres emb recyclables en plastique"
16849;1510025;"134008";01/02/23;03/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16847;1510035;"112009";01/02/23;03/02/23;"PE films valorisables (valo)";0,44;0;"Autres emb recyclables en plastique"
16849;1510025;"134008";01/02/23;03/02/23;"Carton brun";0;0;"Emballages papier - carton"
16850;1510402;"124006";03/02/23;03/02/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"GM";0,89;0;"Autres papiers recyclables"
16850;1510402;"124006";03/02/23;03/02/23;"PET autre et PVC";0,29;0;"Flaconnages recyclables en plastique"
16850;1510402;"124006";03/02/23;03/02/23;"Objets plastique valorisables (valo)";0,2;0;"Autres emb recyclables en plastique"
16850;1510402;"124006";03/02/23;03/02/23;"Fines alu";0,1;0;"Emballages métalliques"
16850;1510402;"124006";03/02/23;03/02/23;"Emballages recyclables en aluminium";0,08;0;"Emballages métalliques"
16850;1510402;"124006";03/02/23;03/02/23;"autre plastique non valorisable";0,94;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Non valorisables vrais";11,36;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Recyclables souillés";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Carton brun";0;0;"Emballages papier - carton"
