CODE;DATE_COLLECTE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;MISSION;IMMAT;LIBELLE_CIRCUIT;TEMPS_D_ACTIVITE;TEMPS_D_ARRET;TEMPS_DE_MOTEUR_OFF;TEMPS_DE_PAUSE;TEMPS_DE_MARCHE_ARRIERE;TEMPS_DE_SERVICE;KM_D_ACTIVITE;KM_DE_HLP;KM_DE_MARCHE_ARRIERE;KM_DE_SERVICE;SOURCE;CODE_CIRCUIT;SECTEUR_CIRCUIT;TOURNEE_CIRCUIT;JOURS_CIRCUIT;FLUX_CIRCUIT
AUTO33428;4/9/2023;4/9/2023;;Collecte;j364urbaz5;NE_T01_TRONC MEYS2_LUN JEU_OMR_110004;12292;480;;;89;0;18,92;33,26;0,04;52,18;GAM;110004;NE;T01;LUN JEU;OMR
AUTO33429;4/9/2023;4/9/2023;;Collecte;oF7I4xGfPC;NE_T17_GRE GRENETTE MALHERBE_LUN JEU_OMR_110006;7604;944;3050;;117;0;6,91;20,1;0,05;27,01;GAM;110006;NE;T17;LUN JEU;OMR
AUTO33430;4/9/2023;4/9/2023;;Collecte;0jbxz085fw;NO_T10_GRE VALLIER_LUN JEU_CS_151010;0;1713;581;;;0;0;30,35;;30,35;GAM;151010;NO;T10;LUN JEU;CS
AUTO33436;4/9/2023;4/9/2023;;Collecte;fknz9lrv64;;0;982;4416;;;0;0;56,01;;56,01;GAM;;;;;
AUTO33437;4/9/2023;4/9/2023;;Collecte;jvdwb1fexp;;57;816;1512;;;0;0,08;27,33;;27,41;GAM;;;;;
AUTO33444;4/9/2023;4/9/2023;;Collecte;zp1g9jrpi1;;85;32;8091;;85;0;0,04;11,03;0,04;11,07;GAM;;;;;
AUTO33439;4/9/2023;4/9/2023;;Transport;61FRWBjauh;;1345;7551;180;;1345;0;0,33;78,75;0,33;79,08;GAM;;;;;
AUTO33440;4/9/2023;4/9/2023;4/9/2023;Collecte PAV;cewxgzybhe;TEST PAV_1771_LA LUIRE_MER_CS_170005;248;18054;348;;248;25746;0,11;69,3;0,11;69,41;GAM;170005;TEST PAV;1771;MER;CS
AUTO33441;4/9/2023;4/9/2023;4/9/2023;Collecte PAV;8qtjzvpvsd;circuit libre;179;9106;510;;179;17276;0,1;43,13;0,1;43,23;GAM;;circuit libre;;;
AUTO33442;4/9/2023;4/9/2023;;Collecte PAV;37ix70x3dv;;115;6104;;;115;0;0,08;82,67;0,08;82,75;GAM;;;;;
AUTO33443;4/9/2023;4/9/2023;;Collecte;csu9voc7bl;;0;;272;;;0;0;5,08;;5,08;GAM;;;;;
AUTO33445;4/9/2023;4/9/2023;;Collecte PAV;Mbtg7C288o;;51;7302;2709;;51;0;0,03;29,27;0,03;29,3;GAM;;;;;
AUTO33446;4/9/2023;4/9/2023;;Collecte;a4rn5sg8yd;SUD_T12R_PONT CLAIX OUEST_LUN_OMR_120048;20619;32;60;;141;0;28;48,01;0,14;76,01;GAM;120048;SUD;T12R;LUN;OMR
AUTO33458;4/9/2023;4/9/2023;;Collecte;cpixtr8npf;;0;15134;1911;;;0;0;97,39;;97,39;GAM;;;;;
AUTO33447;4/9/2023;4/9/2023;;Collecte;u16rgi3exd;SUD_T05_GRE CP ECH COL_LUN_CS_120013;6399;50;;;48;0;4,57;40,26;0,02;44,83;GAM;120013;SUD;T05;LUN;CS
AUTO33448;4/9/2023;4/9/2023;4/9/2023;Collecte;nlz4jniqc3;GS_T08_VIZILLE_LUN_OMR_160005;10366;27;;;116;16213;14,22;77,49;0,03;91,71;GAM;160005;GS;T08;LUN;OMR
AUTO33449;4/9/2023;4/9/2023;;Collecte;j1h4gptjli;GS_T06_VIF 1_LUN_OMR_129016;7114;4;367;;54;0;16,56;86,23;0,02;102,79;GAM;129016;GS;T06;LUN;OMR
AUTO33450;4/9/2023;4/9/2023;4/9/2023;Collecte;9tcc9i42vm;GS_T06_VIF 1_LUN_OMR_129016;70;206;656;;70;16363;0,02;93,64;0,02;93,66;GAM;129016;GS;T06;LUN;OMR
AUTO33459;4/9/2023;4/9/2023;;Collecte;BqsVQSMm80;;104;310;60;;104;0;0,04;11,68;0,04;11,72;GAM;;;;;
AUTO33451;4/9/2023;4/9/2023;4/9/2023;Collecte;oxe1pddfqt;SUD_T11_IDENTIF_LUN_CS_120065;9876;490;3;;28;13322;12;28,48;0,01;40,48;GAM;120065;SUD;T11;LUN;CS
AUTO33453;4/9/2023;4/9/2023;;Collecte;v8ciubqaen;SUD_T08_IDENTIF_LUN_CS_120059;0;1191;2548;;;0;0;32,25;;32,25;GAM;120059;SUD;T08;LUN;CS
AUTO33460;4/9/2023;4/9/2023;;Collecte;7nHTChwECF;;9232;60;;;161;0;14,31;29,53;0,09;43,84;GAM;;;;;
AUTO33452;4/9/2023;4/9/2023;4/9/2023;Collecte;ikv5vt40ba;SUD_T03_ECH COLL_LUN_CS_120035;21;4177;;;21;15405;0,01;21,27;0,01;21,28;GAM;120035;SUD;T03;LUN;CS
AUTO33454;4/9/2023;4/9/2023;4/9/2023;Collecte;uqvjh3gzxu;SUD_T10_IDENTIF_LUN_CS_120063;10110;41;378;;68;15946;12,08;48,97;0,01;61,05;GAM;120063;SUD;T10;LUN;CS
AUTO33455;4/9/2023;4/9/2023;;Collecte;1t8IcmYe1z;SUD_T09_IDENTIF_LUN_CS_120061;14120;60;;;155;0;12,55;24,77;0,05;37,32;GAM;120061;SUD;T09;LUN;CS
AUTO33456;4/9/2023;4/9/2023;4/9/2023;Collecte;dcw2igdtrd;SUD_T02_ECH GRE COLL_LUN_CS P_120034;180;1457;384;;180;11306;0,03;40,06;0,03;40,09;GAM;120034;SUD;T02;LUN;CS P
AUTO33461;4/9/2023;4/9/2023;;Collecte;72hgb55djb;;0;818;2155;;;0;0;72,54;;72,54;GAM;;;;;
AUTO33457;4/9/2023;4/9/2023;;Collecte;HHrKcPoPW1;SUD_T06_CLAIX HT_LUN_OMR_120051;9220;697;2388;;178;0;18,13;41,91;0,16;60,04;GAM;120051;SUD;T06;LUN;OMR
AUTO33462;4/9/2023;4/9/2023;;Collecte;7joy6o7022;;0;886;;;;0;0;21,08;;21,08;GAM;;;;;
