IMMAT;DATE_LEVEE;CODE_CIRCUIT;CODE_INSEE;NB_LEVEES
nczhm372sk;4/10/2023;120025;38059;263
uqvjh3gzxu;18/10/2023;120001;38059;184
uqvjh3gzxu;21/6/2023;120001;38059;199
uqvjh3gzxu;4/10/2023;120001;38059;182
uqvjh3gzxu;11/10/2023;120001;38059;200
a4rn5sg8yd;1/11/2023;120001;38059;102
57igmhyovd;27/9/2023;120068;38059;26
57igmhyovd;2/8/2023;120068;38059;26
72hgb55djb;22/9/2023;120002;38059;1
72hgb55djb;6/10/2023;120002;38059;1
72hgb55djb;29/9/2023;120002;38059;1
72hgb55djb;10/11/2023;120002;38059;1
72hgb55djb;24/11/2023;120002;38059;1
57igmhyovd;17/11/2023;120067;38059;2
AhnI9sMNTj;25/9/2023;131001;38071;1
AhnI9sMNTj;6/11/2023;131001;38071;1
AhnI9sMNTj;27/11/2023;131001;38071;1
HHrKcPoPW1;5/12/2023;120052;38111;353
nczhm372sk;21/11/2023;120052;38111;351
HHrKcPoPW1;14/11/2023;120052;38111;263
HHrKcPoPW1;24/10/2023;120052;38111;258
HHrKcPoPW1;12/12/2023;120052;38111;239
HHrKcPoPW1;6/12/2023;120053;38111;241
72hgb55djb;15/6/2023;120050;38111;167
72hgb55djb;29/6/2023;120050;38111;175
72hgb55djb;21/11/2023;120052;38111;255
HHrKcPoPW1;16/10/2023;120051;38111;188
72hgb55djb;25/9/2023;120050;38111;152
HHrKcPoPW1;27/9/2023;120067;38111;146
HHrKcPoPW1;8/9/2023;120055;38111;270
HHrKcPoPW1;10/11/2023;120055;38111;189
HHrKcPoPW1;22/12/2023;120055;38111;206
HHrKcPoPW1;28/12/2023;120054;38111;354
htl2qtq856;16/6/2023;128014;38111;2
HHrKcPoPW1;14/9/2023;120067;38111;145
qshw7egqjb;8/9/2023;110025;38111;1
y2qwjva4su;18/7/2023;160006;38111;1
y2qwjva4su;25/7/2023;160006;38111;1
y2qwjva4su;10/10/2023;160006;38111;1
y2qwjva4su;28/11/2023;160006;38111;1
912yxz768z;29/6/2023;160008;38111;1
912yxz768z;27/7/2023;160008;38111;1
912yxz768z;17/8/2023;160008;38111;1
912yxz768z;16/11/2023;160008;38111;1
pgf8clwyux;19/7/2023;140002;38111;1
57igmhyovd;29/9/2023;120067;38111;1
oxe1pddfqt;29/9/2023;120066;38111;1
uqvjh3gzxu;15/9/2023;120064;38111;1
57igmhyovd;13/9/2023;120068;38111;1
htl2qtq856;24/10/2023;128013;38111;1
qvjjsw3qoz;6/12/2023;110029;38111;1
9tcc9i42vm;22/6/2023;129016;38111;1
j1h4gptjli;29/6/2023;129016;38111;1
j1h4gptjli;21/12/2023;129016;38111;1
jvdwb1fexp;27/9/2023;111004;38111;1
oF7I4xGfPC;13/9/2023;112009;38150;356
oF7I4xGfPC;22/11/2023;112009;38150;170
oF7I4xGfPC;20/12/2023;112009;38150;369
egru8o9gip;10/10/2023;112009;38150;260
egru8o9gip;1/12/2023;112009;38150;180
oF7I4xGfPC;26/7/2023;112009;38150;312
oF7I4xGfPC;9/8/2023;112009;38150;302
oF7I4xGfPC;23/8/2023;112009;38150;314
oF7I4xGfPC;27/12/2023;112009;38150;387
vhxnkra4on;18/10/2023;112009;38150;323
egru8o9gip;14/7/2023;112009;38150;106
egru8o9gip;27/6/2023;112009;38150;280
37qykhmywu;14/6/2023;110012;38150;160
37qykhmywu;5/7/2023;110012;38150;259
37qykhmywu;12/7/2023;112010;38150;244
37qykhmywu;25/10/2023;112010;38150;237
48siz8x96i;15/11/2023;101026;38150;61
xbq43ggoqh;16/8/2023;112010;38150;198
xbq43ggoqh;18/10/2023;112010;38150;251
48siz8x96i;18/10/2023;101026;38150;57
egru8o9gip;15/12/2023;112009;38150;57
pvqkjig664;15/9/2023;110014;38150;48
uwr44zs7w5;7/11/2023;101014;38150;1
37qykhmywu;18/10/2023;110012;38150;22
vhxnkra4on;8/9/2023;110014;38150;44
vhxnkra4on;18/8/2023;110014;38150;25
48siz8x96i;11/8/2023;110016;38150;31
vnudajkzk5;11/12/2023;101023;38150;2
h7qn96fkxd;11/9/2023;101013;38150;2
h7qn96fkxd;9/11/2023;101013;38150;2
bat8lwethv;18/12/2023;110007;38150;1
h7qn96fkxd;17/7/2023;101013;38150;1
h7qn96fkxd;19/7/2023;101025;38150;1
h7qn96fkxd;26/10/2023;101013;38150;1
qvjjsw3qoz;15/11/2023;112010;38179;37
xbq43ggoqh;30/8/2023;112010;38179;43
xbq43ggoqh;20/9/2023;112010;38179;44
xbq43ggoqh;11/10/2023;112010;38179;43
xbq43ggoqh;20/12/2023;112010;38179;21
xbq43ggoqh;20/12/2023;101026;38179;26
h7qn96fkxd;13/11/2023;101013;38179;4
egru8o9gip;4/9/2023;116011;38179;7
egru8o9gip;9/10/2023;116011;38179;6
egru8o9gip;5/10/2023;116011;38179;11
egru8o9gip;7/12/2023;116011;38179;11
uwr44zs7w5;6/12/2023;101022;38179;1
j364urbaz5;13/7/2023;110004;38179;1
j364urbaz5;10/8/2023;110004;38179;1
j364urbaz5;24/8/2023;110004;38179;2
j364urbaz5;16/10/2023;110004;38179;1
j364urbaz5;2/11/2023;110004;38179;1
j364urbaz5;11/12/2023;110004;38179;1
vhxnkra4on;19/12/2023;110015;38179;1
9zz5ph3zpi;13/6/2023;110024;38179;1
eiffgae8rm;6/7/2023;115003;38179;1
eiffgae8rm;23/10/2023;115003;38179;1
uwr44zs7w5;13/6/2023;101014;38179;4
uwr44zs7w5;5/9/2023;101014;38179;4
uwr44zs7w5;24/10/2023;101014;38179;3
uwr44zs7w5;10/10/2023;101014;38179;2
jvdwb1fexp;1/8/2023;101014;38179;2
g8k9apcqfs;14/6/2023;110009;38179;1
59av7mpv00;6/9/2023;120049;38179;1
59av7mpv00;13/9/2023;120049;38179;1
59av7mpv00;13/12/2023;120049;38179;2
a4rn5sg8yd;6/10/2023;120048;38179;1
a4rn5sg8yd;14/11/2023;120048;38179;2
eiffgae8rm;8/8/2023;115003;38179;2
eiffgae8rm;29/8/2023;115003;38179;1
eiffgae8rm;13/10/2023;115003;38179;2
eiffgae8rm;31/10/2023;115003;38179;2
eiffgae8rm;14/11/2023;115003;38179;1
eiffgae8rm;5/12/2023;115003;38179;2
ighzc1n730;18/9/2023;133004;38179;1
ighzc1n730;16/10/2023;133004;38179;1
ighzc1n730;6/11/2023;133004;38179;1
0jbxz085fw;14/9/2023;151010;38179;1
h7qn96fkxd;15/8/2023;101013;38179;1
h7qn96fkxd;29/12/2023;101013;38179;1
vnudajkzk5;25/10/2023;101022;38179;1
j364urbaz5;4/8/2023;110004;38185;9
xbq43ggoqh;27/7/2023;110002;38185;372
48siz8x96i;12/6/2023;110008;38185;202
48siz8x96i;7/9/2023;110008;38185;163
48siz8x96i;7/12/2023;110008;38185;216
vhxnkra4on;13/10/2023;110006;38185;362
oF7I4xGfPC;20/6/2023;110006;38185;296
oF7I4xGfPC;23/6/2023;110006;38185;367
oF7I4xGfPC;7/7/2023;110006;38185;351
oF7I4xGfPC;8/8/2023;110006;38185;262
oF7I4xGfPC;15/8/2023;110006;38185;121
oF7I4xGfPC;21/11/2023;110006;38185;291
jvdwb1fexp;15/6/2023;110006;38185;315
jvdwb1fexp;19/6/2023;110006;38185;190
qshw7egqjb;13/11/2023;110025;38185;265
qshw7egqjb;7/11/2023;110025;38185;281
